Product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Wool fine or coarse animal hair horsehair yarn and woven fabric,13685906,12449112,12030677,12608995,14241901,12285090,8393668,10343931,11541542,10957424
Cotton,55811962,49941828,44835464,49176639,52922969,48660141,40676375,54983468,60626371,45407331
Other vegetable textile fibres paper yarn and woven fabrics of paper yarn,3938727,3852658,3876087,4224347,4636916,5072539,3961320,5224877,5648359,5627403
Man-made filaments strip and the like of man-made textile materials,42971300,40030728,39255081,41936780,45012037,43892244,35669634,46956129,51879838,47833018
Man-made staple fibres,40099246,36935599,35795982,37644728,40420415,37592848,30658986,37967195,41273768,35601145
Wadding felt and nonwovens special yarns twine cordage ropes and cables and articles thereof,22955949,21616610,21616658,23215563,25276361,25065484,27206464,30220543,29693646,27431207
Carpets and other textile floor coverings,14428339,13502789,13407229,14254438,15010126,14522082,13335939,16988324,16275900,15314058
Special woven fabrics tufted textile fabrics lace tapestries trimmings embroidery,11060800,10104420,10692603,10683170,11200785,10919013,8883084,10944923,11052585,10176532
Impregnated coated covered or laminated textile fabrics textile articles of a kind suitable  ,22642147,20616747,21043008,22304646,23606034,23084671,20515744,24978879,25925018,24943995
Knitted or crocheted fabrics,27025748,25561216,26415410,28214670,30161735,29954966,26775680,35046008,35687412,32096009
Articles of apparel and clothing accessories knitted or crocheted,201905918,192768114,190717064,200582573,215088141,215763590,187368981,233003904,263857553,231310218
Articles of apparel and clothing accessories not knitted or crocheted,205515294,197226105,192676313,198709299,213139478,212910234,189057763,201673537,229360542,215415579
Other made-up textile articles sets worn clothing and worn textile articles rags,55927600,53817933,53627542,56859349,60542395,61633883,123309104,82548743,78608108,67600157
Footwear gaiters and the like parts of such articles,130580999,126816405,126306784,134943922,144097829,147126441,124567850,145192617,173765222,159206639
Headgear and parts thereof,8696158,8538670,8734283,9326437,10113400,10317683,9521311,12293566,15230091,13533819
Umbrellas sun umbrellas walking sticks seat-sticks whips riding-crops and parts thereof,2950884,2868813,2834719,2896287,3098148,3125269,2705610,3422976,3917876,3286396
Prepared feathers and down and articles made of feathers or of down artificial flowers articles  ,4919945,4974029,4890552,5266735,5797452,6236584,5471164,7898126,8924044,7815639
Articles of stone plaster cement asbestos mica or similar materials,48554912,45357010,45557511,48894475,52547560,51143737,47462533,58113979,60399467,57362426
Ceramic products,47072860,44056060,43304095,45796389,49972914,48952181,45896402,58107441,62430505,56746876
Glass and glassware,74859926,68349370,70522972,73849809,78773760,78551466,73087221,87854043,90467452,87018829
Natural or cultured pearls precious or semi-precious stones precious metals metals clad  ,612362493,535784320,586092336,605163432,628684420,657121666,720602696,880136794,932821453,880209412
Iron and steel,422356584,345147701,310805893,384793526,441249128,391533771,339808588,555113006,592470763,487026267
Articles of iron or steel,326570310,286254849,265193321,290167188,321477907,311171802,277307417,344201301,383065128,362512228
Copper and articles thereof,163889574,137563691,124098333,151433146,169953105,152592096,154479123,229330168,232962839,209599397
Nickel and articles thereof,31737761,27082135,21307292,23053719,28854944,29280454,25002495,33740542,47572427,46027809
Aluminium and articles thereof,168920462,159994621,151352279,174278469,196178563,177842182,163421752,233062400,277764241,231735617
Lead and articles thereof,7703770,6528511,6878503,9167175,9240960,7938008,6534025,8829939,8986371,9292282
Zinc and articles thereof,15391750,14216972,14220021,20120573,21364717,18590158,16300856,20356292,23014370,19561081
Tin and articles thereof,7586678,5361112,5073375,5828630,5887723,5269027,4433030,8354445,9457259,7107825
Other base metals cermets articles thereof,18672566,16660137,15804859,20137782,25868674,21182313,17477804,23710149,32020903,25027395
Tools implements cutlery spoons and forks of base metal parts thereof of base metal,65082722,59511740,58374158,63469513,67810321,65158787,59789847,72773831,72725128,69459753
Miscellaneous articles of base metal,64185271,60524900,61517416,65875330,72492070,73824628,66021004,81495807,85291890,80528584
Nuclear reactors boilers machinery and mechanical appliances parts thereof,2159982078,1983296889,1941810951,2126223180,2336881603,2292365942,2163978660,2560894599,2661183138,2646659557
Electrical machinery and equipment and parts thereof sound recorders and reproducers television  ,2525252449,2472936319,2471174520,2747129004,2975745460,2908837432,2964184059,3621461928,3812047761,3613145723
Railway or tramway locomotives rolling stock and parts thereof railway or tramway track fixtures  ,33056154,29075299,26850911,29063973,29782936,31638023,26646424,30919069,33276175,34771278
Vehicles other than railway or tramway rolling stock and parts and accessories thereof,1392350203,1323559884,1353376756,1457462192,1545273524,1527128756,1291024141,1516987627,1629379559,1898386447
Aircraft spacecraft and parts thereof,253449489,243708724,247093058,237786936,247028637,240169389,159998414,162800930,180489139,225058452
Ships boats and floating structures,91091852,89762274,95597480,85703310,87527545,76806402,65657243,75750166,82698823,72606665
Optical photographic cinematographic measuring checking precision medical or surgical  ,558944442,533265326,533856582,572526841,614352630,618818423,604090888,689044465,673590975,683396210
Clocks and watches and parts thereof,54500038,53205721,48449308,48710385,51406387,51061584,41715330,55721888,56667978,59872698
Musical instruments parts and accessories of such articles,6745906,6321589,6435862,6648029,7254631,7573363,7054162,8587952,8708038,7621001
Arms and ammunition parts and accessories thereof,9480710,10147650,9829138,10322464,11151992,14382783,12337659,14201300,16747299,20143916
Furniture bedding mattresses mattress supports cushions and similar stuffed furnishings,219600692,214561213,218680235,232810253,248757455,243473630,231824652,289029533,290299150,261095563
Toys games and sports requisites parts and accessories thereof,109132440,105375118,105010779,118530861,124636228,121176479,120953742,160721927,162456041,147350713
Miscellaneous manufactured articles,46516675,44852521,46126675,48780845,51911435,51288594,48178447,55399714,59525646,58273408
Works of art collectors' pieces and antiques,24833874,28497345,23797429,23239724,28414693,30835411,19102017,28384878,31540154,34704377
Commodities not elsewhere specified,426451218,421033289,399005159,342986240,343533068,329714650,277368520,403791812,445407289,365001003
