Product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Other made-up textile articles  sets  worn clothing and worn textile articles  rags,121157,156308,132697,162585,165925,117181,,215262,178019,160964
Footwear  gaiters and the like  parts of such articles,40831,38257,36346,43106,45411,30594,,52026,33154,42591
Headgear and parts thereof,5080,2291,2323,2131,1974,1402,,3316,2218,2215
Umbrellas  sun umbrellas  walking sticks  seat-sticks  whips  riding-crops and parts thereof,1273,1695,961,1145,1504,883,,1036,911,637
Prepared feathers and down and articles made of feathers or of down  artificial flowers  articles   ,17386,17221,15379,13681,14787,12280,,27346,23349,22654
Articles of stone  plaster  cement  asbestos  mica or similar materials,21820,23792,31624,26652,23088,19140,,30442,32118,25106
Ceramic products,148007,150003,127676,103702,94779,88815,,112131,95040,71946
Glass and glassware,51662,50807,39348,47674,47445,42773,,75147,75681,61345
Natural or cultured pearls  precious or semi-precious stones  precious metals  metals clad   ,2252,1735,1389,1675,2075,1181,,1950,1707,3810
Iron and steel,512347,486225,321577,412371,433395,359245,,848036,705439,527507
Articles of iron or steel,678882,611359,514822,517463,492014,391476,,484051,563713,364244
Copper and articles thereof,20738,25755,20292,21642,29915,22437,,44306,33804,24316
Nickel and articles thereof,747,3609,3827,945,2209,4531,,700,1180,2423
Aluminium and articles thereof,110965,104459,120840,125597,121423,81503,,113133,101208,81934
Lead and articles thereof,201,337,91,114,88,39,,3975,988,5321
Zinc and articles thereof,1381,242,926,751,213,111,,306,166,273
Tin and articles thereof,2556,3504,915,2779,3055,1390,,1094,1094,1024
Other base metals  cermets  articles thereof,416,526,2260,463,158,379,,291,266,306
Tools  implements  cutlery  spoons and forks  of base metal  parts thereof of base metal,57457,45974,43393,62272,52880,52703,,89573,48699,44276
Miscellaneous articles of base metal,38091,34679,159099,137253,43609,85783,,67109,55796,99980
Nuclear reactors  boilers  machinery and mechanical appliances  parts thereof,1824601,1663499,1514585,1392844,1538471,1360271,,1827210,1760122,1552207
Electrical machinery and equipment and parts thereof  sound recorders and reproducers  television   ,1613921,1271408,1005468,785492,735086,685025,,767282,637405,601174
Railway or tramway locomotives  rolling stock and parts thereof  railway or tramway track fixtures   ,13926,7069,28924,2626,5675,8602,,9839,7882,6741
Vehicles other than railway or tramway rolling stock  and parts and accessories thereof,2202989,1777989,1788571,1872472,1854072,1691760,,2269583,1542853,1211628
Aircraft  spacecraft  and parts thereof,8230,6632,2907,5040,2981,5865,,23450,12183,8054
Ships  boats and floating structures,24041,115248,12755,27059,6243,7000,,4484,8656,21759
Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical   ,253677,234508,430400,200733,238808,162000,,240908,151508,137536
Clocks and watches and parts thereof,2188,1801,892,1726,1133,1202,,1449,1425,1065
Musical instruments  parts and accessories of such articles,4418,4126,4039,3301,3299,2629,,3727,3132,1829
Arms and ammunition  parts and accessories thereof,187759,199043,203826,10899,6621,12296,,35050,14732,31276
Furniture  bedding  mattresses  mattress supports  cushions and similar stuffed furnishings    ,116205,121108,132172,117593,156884,98501,,188805,149497,108053
Toys  games and sports requisites  parts and accessories thereof,9656,13686,7468,9802,9915,7882,,45384,13973,10541
Miscellaneous manufactured articles,59149,53466,52890,53455,58130,33071,,42767,39124,38374
Works of art  collectors' pieces and antiques,1155,436,183,261,181,197,,672,567,306
Commodities not elsewhere specified,1,2,0,0,0,0,,0,0,0
