Year,Trade_to_GDP
2014,63.8365624430783
2015,76.5212709243242
2016,67.8769994445865
2017,70.5483652904116
2018,67.9585174644902
2019,76.824802732152
2020,66.5754987162431
2021,62.7078309128346
2022,70.1154557958907
2023,69.0365894796481
